Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1761150300000.0,108173.1,108650.4,108144.9,108530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761150600000.0,108530.0,108658.7,107847.3,108519.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761150900000.0,108519.2,108574.0,108231.0,108533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761151200000.0,108533.0,108799.6,108393.1,108403.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761151500000.0,108403.5,108659.6,108320.7,108358.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761151800000.0,108358.5,108435.5,108173.0,108412.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761152100000.0,108412.5,108506.7,108186.2,108209.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761152400000.0,108209.4,108234.7,108034.5,108066.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761152700000.0,108066.4,108322.5,108048.7,108305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761153000000.0,108305.0,108322.2,108118.5,108175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761153300000.0,108175.0,108175.6,107933.6,107958.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761153600000.0,107958.9,108112.7,107903.2,108069.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761153900000.0,108069.1,108103.0,107839.4,107938.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761154200000.0,107938.5,108163.9,107860.4,108158.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761154500000.0,108158.7,108223.2,107779.8,107833.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761154800000.0,107833.3,107931.5,107733.0,107851.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761155100000.0,107851.1,107970.3,107814.4,107921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761155400000.0,107921.0,107955.0,107550.0,107659.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761155700000.0,107659.3,107789.6,107550.1,107773.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761156000000.0,107773.3,107908.3,107731.5,107872.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761156300000.0,107872.9,107981.4,107769.6,107808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
